district,population
ALOR GAJAH,260.5
BACHOK,165.5
BARAT DAYA,248.3
BATU PAHAT,510.4
BESUT,165.4
BINTULU,188.9
DAERAH BAGAN DATUK,83.4
DAERAH BALING,148.1
DAERAH BATANG PADANG,126.7
DAERAH BENTONG,121.2
DAERAH BERA,101
DAERAH CAMERON HIGHLANDS,44.5
DAERAH HILIR PERAK,141.9
DAERAH HULU PERAK,98.3
DAERAH JERANTUT,100
DAERAH KAMPAR,99.9
DAERAH KECIL GENTING,0
DAERAH KERIAN,169.6
DAERAH KINTA,923.3
DAERAH KOTA SETAR,381.8
DAERAH KUALA KANGSAR,180
DAERAH KUALA MUDA,571.4
DAERAH KUANTAN,571.3
DAERAH KUBANG PASU,253.4
DAERAH KULIM,352.2
DAERAH LANGKAWI,99.9
DAERAH LARUT MATANG,278.2
DAERAH LIPIS,102.2
DAERAH MANJUNG,255
DAERAH MARAN,119.1
DAERAH MERSING,81.1
DAERAH MUALLIM,79.3
DAERAH PADANG TERAP,67.7
DAERAH PEKAN,128
DAERAH PERAK TENGAH,98.7
DAERAH RAUB,100.1
DAERAH SEGAMAT,205.1
DAERAH SELAMA,35.2
DAERAH TEMERLOH,177.9
DAERAH YAN,74.7
DUNGUN,168.1
GOMBAK,980.3
HULU TERENGGANU,74.6
JASIN,156.4
JEMPOL,131.3
JOHOR BAHRU,1800
KEMAMAN,231.8
KLANG,1174.9
KLUANG,333.8
KOTA BHARU,583.8
KOTA TINGGI,233.8
KUALA KRAI,111.8
KUALA LANGAT,326.3
KUALA LUMPUR,2067.5
KUALA NERUS,155.9
KUALA SELANGOR,298.4
KUALA TERENGGANU,245.4
KUCHING,625.3
KUDAT,93.2
KULAI,351.4
MELAKA TENGAH,630.1
MIRI,256.2
MUAR,323.3
PASIR MAS,240.6
PASIR PUTEH,143
PETALING,2360
PONTIAN,177.9
PORT DICKSON,135.2
PUTRAJAYA,120.3
REMBAU,49.2
SABAK BERNAM,110.3
SAMARAHAN,135.5
SEBERANG PERAI SELATAN,188.1
SEBERANG PERAI TENGAH,443.2
SEBERANG PERAI UTARA,351
SEPANG,346.9
SEREMBAN,712.7
SERIAN,87.6
SIBU,255.3
TAMPIN,90.6
TANAH MERAH,158.4
TANGKAK,169.5
TAWAU,413.6
TIADA DAERAH,0
TIMOR LAUT,569.9
TUMPAT,189.1
ULU LANGAT,1508.1
ULU SELANGOR,258.1
WEST COAST NORTH,0
WEST COAST SOUTH,0
